,Title,Location,Start_Date,End_Date,Filter,URL
23,Birthday Bestie,"RHUU Russell House Patio Stage, RHUU Russell House Patio Space 02, RHUU Russell House Patio Space 03",2023-04-7 11:00:00,2023-04-7 1:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D793386772
24,South Carolina Honors College Information Session,Harper Elliott 320,2023-04-7 11:45:00,2023-04-7 12:30:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D783447927
25,Ciprian Crainiceanu: Biostatistical Methods for Wearable Devices with Applications to NHANES and UK Biobank,Location TBD,2023-04-7 12:00:00,2023-04-7 13:15:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D856125020
26,Mindful 30,Location TBD,2023-04-7 13:00:00,2023-04-7 14:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D683883265
27,Musical Theatre Showcase: The 25th Annual Putnam County Spelling Bee,School of Music 206 Recital Hall,2023-04-7 19:30:00,2023-04-7 21:30:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D854087418
28,Little Shop of Horrors,Drayton Hall 141,2023-04-7 20:00:00,2023-04-7 22:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D685652788
29,Little Shop of Horrors,Drayton Hall 141,2023-04-8 15:00:00,2023-04-8 17:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D685652789
30,Premier League at the Russell House: Arsenal vs. Liverpool,Russell House Theater,2023-04-9 11:30:00,2023-04-9 1:30:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D835992412
31,Bone Marrow Registry Swabbing,Davis Field I - RHUU Side Space 1,2023-04-10 9:00:00,2023-04-10 2:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D853892248
32,Mindful Stroll Mondays,Location TBD,2023-04-10 10:00:00,2023-04-10 10:30:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D793196556
33,South Carolina Honors College Admitted Student Panel,Harper Elliott 320,2023-04-10 10:00:00,2023-04-10 11:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D783447928
34,Bake Sale,RHUU Greene Street Space 04,2023-04-10 11:00:00,2023-04-10 1:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D853892249
35,Education Abroad Tabling,RHUU Greene Street Space 01,2023-04-10 11:00:00,2023-04-10 2:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D821053862
36,Entrepreneurship Coaching + Info Table,RHUU Russell House Patio Space 01,2023-04-10 11:00:00,2023-04-10 2:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D844901749
37,Off-Campus Housing Showcase - Station at 5 Points,Davis Field I - RHUU Side Space 4,2023-04-10 11:00:00,2023-04-10 2:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D823816921
38,Education Abroad Tabling,RHUU Greene Street Space 01,2023-04-11 11:00:00,2023-04-11 2:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D821053863
39,TPUSA Tabling,RHUU Davis Circle Space 02,2023-04-11 11:00:00,2023-04-11 2:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D853892250
40,Llamas on Davis Field,Davis Field I - RHUU Side,2023-04-11 12:00:00,2023-04-11 14:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D851113758
41,Tuesdays with Tolliver,Russell House Ballroom B,2023-04-11 12:00:00,2023-04-11 13:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D792292179
